timestamp,accX,accY,accZ
2118846053,-0.88,-0.49,0.11
2118847991,-0.87,-0.51,0.03
2118849990,-0.87,-0.51,0.03
2118852106,-0.87,-0.51,0.03
2118853991,-0.87,-0.51,0.03
2118855987,-0.87,-0.51,0.03
2118857990,-0.88,-0.50,0.02
2118859991,-0.88,-0.50,0.02
2118861986,-0.88,-0.50,0.02
2118863990,-0.88,-0.50,0.02
2118865987,-0.88,-0.50,0.02
2118867991,-0.87,-0.48,0.01
2118869986,-0.87,-0.48,0.01
2118871986,-0.87,-0.48,0.01
2118873986,-0.87,-0.48,0.01
2118876063,-0.87,-0.48,0.01
2118877996,-0.88,-0.44,0.01
2118879992,-0.88,-0.44,0.01
2118881987,-0.88,-0.44,0.01
2118883990,-0.88,-0.44,0.01
2118886050,-0.88,-0.44,0.01
2118888032,-0.89,-0.46,0.01
2118890014,-0.89,-0.46,0.01
2118892009,-0.89,-0.46,0.01
2118894010,-0.89,-0.46,0.01
2118896013,-0.89,-0.46,0.01
2118898053,-0.88,-0.48,0.00
2118900009,-0.88,-0.48,0.00
2118902107,-0.88,-0.48,0.00
2118903991,-0.88,-0.48,0.00
2118905989,-0.88,-0.48,0.00
2118908023,-0.88,-0.49,0.00
2118910001,-0.88,-0.49,0.00
2118911991,-0.88,-0.49,0.00
2118913984,-0.88,-0.49,0.00
2118915986,-0.88,-0.49,0.00
2118917984,-0.88,-0.49,0.00
2118919984,-0.88,-0.49,0.01
2118921986,-0.88,-0.49,0.01
2118923984,-0.88,-0.49,0.01
2118926112,-0.88,-0.49,0.01
2118928010,-0.88,-0.49,0.01
2118930010,-0.88,-0.49,0.00
2118932029,-0.88,-0.49,0.00
2118934059,-0.88,-0.49,0.00
2118936041,-0.88,-0.49,0.00
2118938013,-0.88,-0.49,0.00
2118940016,-0.88,-0.48,0.01
2118942016,-0.88,-0.48,0.01
2118943987,-0.88,-0.48,0.01
2118945987,-0.88,-0.48,0.01
2118947990,-0.88,-0.48,0.01
2118949992,-0.88,-0.48,0.01
2118952107,-0.88,-0.48,0.01
2118953987,-0.88,-0.48,0.01
2118955997,-0.88,-0.48,0.01
2118957991,-0.88,-0.48,0.01
2118959990,-0.88,-0.48,0.01
2118961986,-0.88,-0.48,0.01
2118963990,-0.88,-0.48,0.01
2118966021,-0.88,-0.48,0.01
2118968014,-0.88,-0.48,0.01
2118970010,-0.87,-0.48,0.01
2118972015,-0.87,-0.48,0.01
