timestamp,accX,accY,accZ
2426716047,-0.84,-0.55,-0.10
2426718007,-0.84,-0.55,-0.10
2426719986,-0.84,-0.55,-0.10
2426721991,-0.84,-0.55,-0.10
2426723990,-0.84,-0.55,-0.10
2426726104,-0.84,-0.54,-0.10
2426727995,-0.84,-0.54,-0.10
2426729991,-0.84,-0.54,-0.10
2426731991,-0.84,-0.54,-0.10
2426733994,-0.84,-0.54,-0.10
2426735990,-0.84,-0.54,-0.10
2426737987,-0.84,-0.54,-0.10
2426739991,-0.84,-0.54,-0.10
2426741990,-0.84,-0.54,-0.10
2426743990,-0.84,-0.54,-0.10
2426745991,-0.84,-0.54,-0.09
2426747992,-0.84,-0.54,-0.09
2426749995,-0.84,-0.54,-0.09
2426752066,-0.84,-0.54,-0.09
2426753990,-0.84,-0.54,-0.09
2426756073,-0.84,-0.55,-0.09
2426758030,-0.84,-0.55,-0.09
2426760010,-0.84,-0.55,-0.09
2426762007,-0.84,-0.55,-0.09
2426764005,-0.84,-0.55,-0.09
2426766008,-0.84,-0.55,-0.09
2426768005,-0.84,-0.55,-0.09
2426770004,-0.84,-0.55,-0.09
2426771991,-0.84,-0.55,-0.09
2426773990,-0.84,-0.55,-0.09
2426776099,-0.84,-0.54,-0.09
2426777996,-0.84,-0.54,-0.09
2426779987,-0.84,-0.54,-0.09
2426781987,-0.84,-0.54,-0.09
2426783991,-0.84,-0.54,-0.09
2426785990,-0.85,-0.53,-0.11
2426787991,-0.85,-0.53,-0.11
2426789991,-0.85,-0.53,-0.11
2426791991,-0.85,-0.53,-0.11
2426793994,-0.85,-0.53,-0.11
2426796018,-0.85,-0.53,-0.09
2426798010,-0.85,-0.53,-0.09
2426800012,-0.85,-0.53,-0.09
2426802118,-0.85,-0.53,-0.09
2426804012,-0.85,-0.53,-0.09
2426806011,-0.84,-0.53,-0.09
2426808009,-0.84,-0.53,-0.09
2426809990,-0.84,-0.53,-0.09
2426811991,-0.84,-0.53,-0.09
2426814033,-0.84,-0.53,-0.09
2426815992,-0.84,-0.53,-0.10
2426818009,-0.84,-0.53,-0.10
2426819986,-0.84,-0.53,-0.10
2426821990,-0.84,-0.53,-0.10
2426823992,-0.84,-0.53,-0.10
2426826102,-0.84,-0.53,-0.09
2426827998,-0.84,-0.53,-0.09
2426829991,-0.84,-0.53,-0.09
2426831987,-0.84,-0.53,-0.09
2426833990,-0.84,-0.53,-0.09
2426836023,-0.84,-0.54,-0.10
2426838009,-0.84,-0.54,-0.10
2426840009,-0.84,-0.54,-0.10
2426842022,-0.84,-0.54,-0.10
2426844044,-0.84,-0.54,-0.10
2426846015,-0.84,-0.54,-0.09
2426848063,-0.84,-0.54,-0.09
2426850050,-0.84,-0.54,-0.09
2426852134,-0.84,-0.54,-0.09
2426854014,-0.84,-0.54,-0.09
2426855990,-0.85,-0.53,-0.09
2426857987,-0.85,-0.53,-0.09
2426859986,-0.85,-0.53,-0.09
2426861987,-0.85,-0.53,-0.09
2426863998,-0.85,-0.53,-0.09
2426865991,-0.84,-0.53,-0.09
2426867989,-0.84,-0.53,-0.09
2426869991,-0.84,-0.53,-0.09
2426871991,-0.84,-0.53,-0.09
2426873992,-0.84,-0.53,-0.09
2426876109,-0.84,-0.54,-0.10
