timestamp,accX,accY,accZ
2457758047,-0.85,-0.54,-0.11
2457759991,-0.85,-0.54,-0.11
2457761987,-0.86,-0.56,-0.03
2457763986,-0.86,-0.56,-0.03
2457765987,-0.86,-0.56,-0.03
2457767987,-0.86,-0.56,-0.03
2457769985,-0.86,-0.56,-0.03
2457771984,-0.86,-0.52,-0.10
2457773989,-0.86,-0.52,-0.10
2457776105,-0.86,-0.52,-0.10
2457777997,-0.86,-0.52,-0.10
2457779987,-0.86,-0.52,-0.10
2457781990,-0.86,-0.52,-0.10
2457783990,-0.87,-0.51,-0.08
2457785989,-0.87,-0.51,-0.08
2457787987,-0.87,-0.51,-0.08
2457789992,-0.87,-0.51,-0.08
2457791989,-0.87,-0.51,-0.08
2457793990,-0.85,-0.50,-0.09
2457795998,-0.85,-0.50,-0.09
2457798062,-0.85,-0.50,-0.09
2457800030,-0.85,-0.50,-0.09
2457802124,-0.85,-0.50,-0.09
2457804019,-0.78,-0.50,-0.21
2457806010,-0.78,-0.50,-0.21
2457808007,-0.78,-0.50,-0.21
2457810011,-0.78,-0.50,-0.21
2457812011,-0.78,-0.50,-0.21
2457813990,-0.83,-0.55,-0.12
2457815992,-0.83,-0.55,-0.12
2457817991,-0.83,-0.55,-0.12
2457819991,-0.83,-0.55,-0.12
2457821992,-0.83,-0.55,-0.12
2457823989,-0.81,-0.57,-0.13
2457826091,-0.81,-0.57,-0.13
2457827994,-0.81,-0.57,-0.13
2457829989,-0.81,-0.57,-0.13
2457831995,-0.81,-0.57,-0.13
2457834022,-0.82,-0.59,-0.12
2457835985,-0.82,-0.59,-0.12
2457838016,-0.82,-0.59,-0.12
2457840009,-0.82,-0.59,-0.12
2457842062,-0.82,-0.59,-0.12
2457844018,-0.81,-0.58,-0.13
2457846014,-0.81,-0.58,-0.13
2457848015,-0.81,-0.58,-0.13
2457850021,-0.81,-0.58,-0.13
2457852129,-0.81,-0.58,-0.13
2457853991,-0.82,-0.57,-0.13
2457856042,-0.82,-0.57,-0.13
2457858038,-0.82,-0.57,-0.13
2457859990,-0.82,-0.57,-0.13
2457861990,-0.82,-0.57,-0.13
2457863992,-0.83,-0.59,-0.13
2457865987,-0.83,-0.59,-0.13
2457867985,-0.83,-0.59,-0.13
2457869986,-0.83,-0.59,-0.13
2457871984,-0.83,-0.59,-0.13
2457873990,-0.83,-0.55,-0.12
2457876099,-0.83,-0.55,-0.12
2457878037,-0.83,-0.55,-0.12
2457880012,-0.83,-0.55,-0.12
2457882011,-0.83,-0.55,-0.12
2457884009,-0.83,-0.55,-0.12
2457886008,-0.83,-0.55,-0.12
2457888011,-0.83,-0.55,-0.12
2457890015,-0.83,-0.55,-0.12
2457891987,-0.83,-0.55,-0.12
2457893992,-0.84,-0.54,-0.12
2457895996,-0.84,-0.54,-0.12
2457897990,-0.84,-0.54,-0.12
2457899989,-0.84,-0.54,-0.12
2457902084,-0.84,-0.54,-0.12
2457903995,-0.84,-0.54,-0.12
2457905985,-0.84,-0.54,-0.12
2457907987,-0.84,-0.54,-0.12
2457909989,-0.84,-0.54,-0.12
2457911991,-0.84,-0.54,-0.12
2457913989,-0.84,-0.55,-0.12
2457916075,-0.84,-0.55,-0.12
2457918054,-0.84,-0.55,-0.12
2457920019,-0.84,-0.55,-0.12
2457922010,-0.84,-0.55,-0.12
2457924016,-0.84,-0.55,-0.12
2457926122,-0.84,-0.55,-0.12
2457928024,-0.84,-0.55,-0.12
2457930013,-0.84,-0.55,-0.12
2457932013,-0.84,-0.55,-0.12
2457934014,-0.84,-0.56,-0.12
2457935991,-0.84,-0.56,-0.12
2457937990,-0.84,-0.56,-0.12
2457939990,-0.84,-0.56,-0.12
2457941992,-0.84,-0.56,-0.12
2457944035,-0.83,-0.54,-0.12
2457945992,-0.83,-0.54,-0.12
2457947989,-0.83,-0.54,-0.12
2457949991,-0.83,-0.54,-0.12
2457952096,-0.83,-0.54,-0.12
2457953987,-0.83,-0.53,-0.12
2457955986,-0.83,-0.53,-0.12
2457958029,-0.83,-0.53,-0.12
2457960010,-0.83,-0.53,-0.12
2457962070,-0.83,-0.53,-0.12
2457964055,-0.84,-0.54,-0.12
2457966011,-0.84,-0.54,-0.12
2457968008,-0.84,-0.54,-0.12
2457970013,-0.84,-0.54,-0.12
2457972011,-0.84,-0.54,-0.12
