timestamp,accX,accY,accZ
1495092054,-0.90,-0.45,0.04
1495093994,-0.90,-0.45,0.04
1495095998,-0.90,-0.45,0.04
1495097990,-0.90,-0.45,0.04
1495099987,-0.89,-0.45,0.05
1495102105,-0.89,-0.45,0.05
1495103990,-0.89,-0.45,0.05
1495105991,-0.89,-0.45,0.05
1495107986,-0.89,-0.45,0.05
1495109984,-0.89,-0.45,0.04
1495111987,-0.89,-0.45,0.04
1495113990,-0.89,-0.45,0.04
1495115992,-0.89,-0.45,0.04
1495117991,-0.89,-0.45,0.04
1495119991,-0.89,-0.45,0.05
1495121998,-0.89,-0.45,0.05
1495123991,-0.89,-0.45,0.05
1495126075,-0.89,-0.45,0.05
1495127995,-0.89,-0.45,0.05
1495129991,-0.89,-0.45,0.04
1495132040,-0.89,-0.45,0.04
1495134031,-0.89,-0.45,0.04
1495136007,-0.89,-0.45,0.04
1495138009,-0.89,-0.45,0.04
1495140007,-0.89,-0.45,0.04
1495142010,-0.89,-0.45,0.04
1495144001,-0.89,-0.45,0.04
1495145999,-0.89,-0.45,0.04
1495147990,-0.89,-0.45,0.04
1495149991,-0.89,-0.45,0.04
1495152095,-0.89,-0.45,0.04
1495153987,-0.89,-0.45,0.04
1495155987,-0.89,-0.45,0.04
1495157986,-0.89,-0.45,0.04
1495159986,-0.89,-0.45,0.04
1495161986,-0.89,-0.45,0.04
1495163987,-0.89,-0.45,0.04
1495165985,-0.89,-0.45,0.04
1495167990,-0.89,-0.45,0.04
1495169991,-0.89,-0.45,0.04
1495172016,-0.89,-0.45,0.05
1495174009,-0.89,-0.45,0.05
1495176104,-0.89,-0.45,0.05
1495178011,-0.89,-0.45,0.05
1495180044,-0.89,-0.45,0.05
1495182014,-0.89,-0.45,0.05
1495184008,-0.89,-0.45,0.05
1495185991,-0.89,-0.45,0.05
1495187991,-0.89,-0.45,0.05
1495189991,-0.89,-0.45,0.05
1495191989,-0.89,-0.45,0.04
1495193991,-0.89,-0.45,0.04
1495195995,-0.89,-0.45,0.04
1495197989,-0.89,-0.45,0.04
1495199986,-0.89,-0.45,0.04
1495202104,-0.89,-0.46,0.04
1495203990,-0.89,-0.46,0.04
1495205991,-0.89,-0.46,0.04
1495207986,-0.89,-0.46,0.04
1495209984,-0.89,-0.46,0.04
1495212014,-0.89,-0.45,0.04
1495214015,-0.89,-0.45,0.04
1495216005,-0.89,-0.45,0.04
1495218010,-0.89,-0.45,0.04
1495220065,-0.89,-0.45,0.04
1495222030,-0.89,-0.45,0.04
1495224008,-0.89,-0.45,0.04
1495226114,-0.89,-0.45,0.04
1495227997,-0.89,-0.45,0.04
1495229987,-0.89,-0.45,0.04
1495231992,-0.89,-0.45,0.05
1495233991,-0.89,-0.45,0.05
1495235991,-0.89,-0.45,0.05
1495237992,-0.89,-0.45,0.05
1495239989,-0.89,-0.45,0.05
1495241987,-0.89,-0.45,0.05
1495243987,-0.89,-0.45,0.05
1495245989,-0.89,-0.45,0.05
1495247990,-0.89,-0.45,0.05
1495249987,-0.89,-0.45,0.05
1495252112,-0.89,-0.44,0.05
1495254010,-0.89,-0.44,0.05
1495256011,-0.89,-0.44,0.05
1495258019,-0.89,-0.44,0.05
1495260011,-0.89,-0.44,0.05
1495262010,-0.89,-0.45,0.04
1495264009,-0.89,-0.45,0.04
1495265991,-0.89,-0.45,0.04
1495267990,-0.89,-0.45,0.04
1495269990,-0.89,-0.45,0.04
1495271991,-0.89,-0.45,0.05
1495273992,-0.89,-0.45,0.05
1495276089,-0.89,-0.45,0.05
1495278000,-0.89,-0.45,0.05
1495280019,-0.89,-0.45,0.05
