timestamp,accX,accY,accZ
1540564049,-0.88,-0.51,0.02
1540565991,-0.87,-0.52,0.02
1540567987,-0.87,-0.52,0.02
1540569983,-0.87,-0.52,0.02
1540571987,-0.87,-0.52,0.02
1540573985,-0.87,-0.52,0.02
1540576103,-0.88,-0.46,0.03
1540577995,-0.88,-0.46,0.03
1540579990,-0.88,-0.46,0.03
1540581993,-0.88,-0.46,0.03
1540583997,-0.88,-0.46,0.03
1540585992,-0.87,-0.44,0.03
1540587991,-0.87,-0.44,0.03
1540589987,-0.87,-0.44,0.03
1540591991,-0.87,-0.44,0.03
1540593991,-0.87,-0.44,0.03
1540595998,-0.87,-0.41,0.02
1540597990,-0.87,-0.41,0.02
1540599987,-0.87,-0.41,0.02
1540602067,-0.87,-0.41,0.02
1540604070,-0.87,-0.41,0.02
1540606038,-0.89,-0.40,0.02
1540608015,-0.89,-0.40,0.02
1540610011,-0.89,-0.40,0.02
1540612010,-0.89,-0.40,0.02
1540614015,-0.89,-0.40,0.02
1540616009,-0.88,-0.46,0.02
1540618010,-0.88,-0.46,0.02
1540619991,-0.88,-0.46,0.02
1540622056,-0.88,-0.46,0.02
1540623983,-0.88,-0.46,0.02
1540626093,-0.88,-0.46,0.02
1540627996,-0.88,-0.46,0.02
1540629986,-0.88,-0.46,0.02
1540631984,-0.88,-0.46,0.02
1540633987,-0.88,-0.46,0.02
1540635986,-0.88,-0.48,0.01
1540637990,-0.88,-0.48,0.01
1540639996,-0.88,-0.48,0.01
1540641984,-0.88,-0.48,0.01
1540644050,-0.88,-0.48,0.01
1540646016,-0.88,-0.51,0.02
1540648007,-0.88,-0.51,0.02
1540650011,-0.88,-0.51,0.02
1540652152,-0.88,-0.51,0.02
1540654013,-0.88,-0.51,0.02
1540656014,-0.86,-0.51,0.02
1540658015,-0.86,-0.51,0.02
1540659987,-0.86,-0.51,0.02
1540661991,-0.86,-0.51,0.02
1540663985,-0.86,-0.51,0.02
1540665989,-0.88,-0.49,0.02
1540667986,-0.88,-0.49,0.02
1540669990,-0.88,-0.49,0.02
1540671991,-0.88,-0.49,0.02
1540673987,-0.88,-0.49,0.02
1540676093,-0.88,-0.48,0.02
1540677999,-0.88,-0.48,0.02
1540679991,-0.88,-0.48,0.02
1540681995,-0.88,-0.48,0.02
1540684020,-0.88,-0.48,0.02
1540686015,-0.87,-0.48,0.01
1540688010,-0.87,-0.48,0.01
1540690011,-0.87,-0.48,0.01
1540692044,-0.87,-0.48,0.01
1540694073,-0.87,-0.48,0.01
1540696052,-0.88,-0.47,0.02
1540698032,-0.88,-0.47,0.02
1540700013,-0.88,-0.47,0.02
1540702104,-0.88,-0.47,0.02
1540703986,-0.88,-0.47,0.02
1540705992,-0.88,-0.47,0.02
1540707990,-0.88,-0.47,0.02
1540709987,-0.88,-0.47,0.02
1540711986,-0.88,-0.47,0.02
1540713984,-0.88,-0.47,0.02
1540715990,-0.88,-0.47,0.02
1540717987,-0.88,-0.48,0.02
1540719982,-0.88,-0.48,0.02
1540721986,-0.88,-0.48,0.02
1540724014,-0.88,-0.48,0.02
1540726104,-0.88,-0.48,0.02
1540728016,-0.87,-0.49,0.02
1540730013,-0.87,-0.49,0.02
1540732014,-0.87,-0.49,0.02
1540734011,-0.87,-0.49,0.02
1540736016,-0.87,-0.49,0.02
1540737991,-0.88,-0.50,0.02
1540739990,-0.88,-0.50,0.02
1540741991,-0.88,-0.50,0.02
1540743992,-0.88,-0.50,0.02
1540746004,-0.88,-0.50,0.02
1540748016,-0.88,-0.49,0.02
1540749993,-0.88,-0.49,0.02
1540752145,-0.88,-0.49,0.02
1540753992,-0.88,-0.49,0.02
1540755987,-0.88,-0.49,0.02
1540757991,-0.88,-0.48,0.02
1540759990,-0.88,-0.48,0.02
1540761986,-0.88,-0.48,0.02
1540764029,-0.88,-0.48,0.02
1540766013,-0.88,-0.48,0.02
1540768010,-0.88,-0.48,0.02
1540770014,-0.88,-0.48,0.02
1540772014,-0.88,-0.48,0.02
1540774010,-0.88,-0.48,0.02
1540776109,-0.88,-0.48,0.02
1540777995,-0.88,-0.48,0.02
1540779991,-0.88,-0.48,0.02
1540781994,-0.88,-0.48,0.02
1540783997,-0.88,-0.48,0.02
1540785991,-0.88,-0.48,0.02
1540787990,-0.88,-0.47,0.02
1540789992,-0.88,-0.47,0.02
1540791990,-0.88,-0.47,0.02
1540793991,-0.88,-0.47,0.02
1540795998,-0.88,-0.47,0.02
1540797987,-0.88,-0.48,0.02
1540799990,-0.88,-0.48,0.02
1540802072,-0.88,-0.48,0.02
1540804019,-0.88,-0.48,0.02
1540806008,-0.88,-0.48,0.02
1540808033,-0.88,-0.48,0.02
1540810054,-0.88,-0.48,0.02
1540812013,-0.88,-0.48,0.02
1540814011,-0.88,-0.48,0.02
1540816007,-0.88,-0.48,0.02
1540818014,-0.88,-0.47,0.02
1540820013,-0.88,-0.47,0.02
1540821994,-0.88,-0.47,0.02
1540823987,-0.88,-0.47,0.02
1540826108,-0.88,-0.47,0.02
1540827997,-0.88,-0.47,0.02
1540829992,-0.88,-0.47,0.02
1540831991,-0.88,-0.47,0.02
1540833987,-0.88,-0.47,0.02
1540835987,-0.88,-0.47,0.02
1540837991,-0.88,-0.48,0.02
1540839992,-0.88,-0.48,0.02
1540841990,-0.88,-0.48,0.02
1540844013,-0.88,-0.48,0.02
1540846008,-0.88,-0.48,0.02
1540848012,-0.88,-0.47,0.03
1540850056,-0.88,-0.47,0.03
1540852160,-0.88,-0.47,0.03
1540854012,-0.88,-0.47,0.03
1540856012,-0.88,-0.47,0.03
1540858011,-0.88,-0.47,0.03
1540859991,-0.88,-0.47,0.03
1540861990,-0.88,-0.47,0.03
1540863986,-0.88,-0.47,0.03
1540865987,-0.88,-0.47,0.03
1540867990,-0.88,-0.48,0.02
1540869991,-0.88,-0.48,0.02
1540871990,-0.88,-0.48,0.02
1540873987,-0.88,-0.48,0.02
1540876093,-0.88,-0.48,0.02
1540877997,-0.88,-0.47,0.03
1540879989,-0.88,-0.47,0.03
1540881986,-0.88,-0.47,0.03
1540884023,-0.88,-0.47,0.03
1540886014,-0.88,-0.47,0.03
1540888015,-0.88,-0.47,0.03
1540890021,-0.88,-0.48,0.03
1540892018,-0.88,-0.48,0.03
1540894018,-0.88,-0.48,0.03
1540896049,-0.88,-0.48,0.03
1540898014,-0.88,-0.48,0.03
1540899968,-0.88,-0.47,0.03
1540902165,-0.88,-0.47,0.03
1540904039,-0.88,-0.47,0.03
1540906016,-0.88,-0.47,0.03
1540907990,-0.88,-0.47,0.03
1540909992,-0.88,-0.48,0.03
1540911990,-0.88,-0.48,0.03
1540913990,-0.88,-0.48,0.03
1540915986,-0.88,-0.48,0.03
1540917990,-0.88,-0.48,0.03
1540919987,-0.88,-0.47,0.02
1540921989,-0.88,-0.47,0.02
1540924019,-0.88,-0.47,0.02
1540926113,-0.88,-0.47,0.02
1540928020,-0.88,-0.47,0.02
1540930016,-0.88,-0.47,0.02
1540932018,-0.88,-0.47,0.02
1540934016,-0.88,-0.47,0.02
1540936013,-0.88,-0.47,0.02
1540937987,-0.88,-0.47,0.02
1540939986,-0.88,-0.48,0.03
1540941987,-0.88,-0.48,0.03
1540943986,-0.88,-0.48,0.03
1540945987,-0.88,-0.48,0.03
1540948006,-0.88,-0.48,0.03
1540950016,-0.88,-0.47,0.02
1540952158,-0.88,-0.47,0.02
