timestamp,accX,accY,accZ
435890743,0.21,0.70,-0.64
435892771,0.21,0.70,-0.64
435894697,0.21,0.70,-0.64
435896693,0.21,0.70,-0.64
435898687,0.21,0.70,-0.63
435900686,0.21,0.70,-0.63
435902691,0.21,0.70,-0.63
435904695,0.21,0.70,-0.63
435906696,0.21,0.70,-0.63
435908692,0.21,0.70,-0.64
435910696,0.21,0.70,-0.64
435912698,0.21,0.70,-0.64
435914694,0.21,0.70,-0.64
435916762,0.21,0.70,-0.64
435918691,0.21,0.71,-0.63
435920695,0.21,0.71,-0.63
435922695,0.21,0.71,-0.63
435924694,0.21,0.71,-0.63
435926689,0.21,0.71,-0.63
435928686,0.21,0.71,-0.63
435930696,0.21,0.71,-0.63
435932690,0.21,0.71,-0.63
435934756,0.21,0.71,-0.63
435936729,0.21,0.71,-0.63
435938717,0.22,0.70,-0.63
435940718,0.22,0.70,-0.63
435942803,0.22,0.70,-0.63
435944717,0.22,0.70,-0.63
435946717,0.22,0.70,-0.63
435948802,0.22,0.70,-0.64
435950726,0.22,0.70,-0.64
435952714,0.22,0.70,-0.64
435954682,0.22,0.70,-0.64
435956675,0.22,0.70,-0.64
435958669,0.21,0.71,-0.62
435960686,0.21,0.71,-0.62
435962709,0.21,0.71,-0.62
435964676,0.21,0.71,-0.62
435966768,0.21,0.71,-0.62
435968714,0.21,0.71,-0.62
435970711,0.21,0.71,-0.63
435972674,0.21,0.71,-0.63
435974720,0.21,0.71,-0.63
435976755,0.21,0.71,-0.63
435978745,0.21,0.71,-0.63
435980717,0.21,0.71,-0.63
435982711,0.21,0.71,-0.63
435984720,0.21,0.71,-0.63
435986758,0.21,0.71,-0.63
435988723,0.21,0.71,-0.63
435990721,0.22,0.71,-0.63
435992809,0.22,0.71,-0.63
435994675,0.22,0.71,-0.63
435996676,0.22,0.71,-0.63
435998679,0.22,0.71,-0.63
436000681,0.22,0.71,-0.63
436002705,0.22,0.71,-0.63
436004787,0.22,0.71,-0.63
436006700,0.22,0.71,-0.63
436008672,0.22,0.71,-0.63
436010679,0.21,0.71,-0.63
436012717,0.21,0.71,-0.63
436014741,0.21,0.71,-0.63
436016818,0.21,0.71,-0.63
436018719,0.21,0.71,-0.63
436020719,0.22,0.71,-0.63
436022722,0.22,0.71,-0.63
436024744,0.22,0.71,-0.63
436026721,0.22,0.71,-0.63
436028714,0.22,0.71,-0.63
436030712,0.22,0.71,-0.62
436032711,0.22,0.71,-0.62
436034783,0.22,0.71,-0.62
436036702,0.22,0.71,-0.62
436038676,0.22,0.71,-0.62
436040677,0.21,0.71,-0.62
436042824,0.21,0.71,-0.62
436044679,0.21,0.71,-0.62
436046676,0.21,0.71,-0.62
436048675,0.21,0.71,-0.62
436050669,0.21,0.71,-0.62
436052675,0.22,0.71,-0.62
436054738,0.22,0.71,-0.62
436056718,0.22,0.71,-0.62
436058717,0.22,0.71,-0.62
436060719,0.22,0.71,-0.62
436062739,0.21,0.71,-0.62
436064819,0.21,0.71,-0.62
436066828,0.21,0.71,-0.62
436068716,0.21,0.71,-0.62
436070720,0.21,0.71,-0.62
436072718,0.21,0.71,-0.62
436074714,0.21,0.71,-0.62
436076732,0.21,0.71,-0.62
436078672,0.21,0.71,-0.62
436080671,0.21,0.71,-0.62
436082673,0.22,0.71,-0.63
436084722,0.22,0.71,-0.63
436086687,0.22,0.71,-0.63
436088669,0.22,0.71,-0.63
436090676,0.22,0.71,-0.63
436092782,0.22,0.71,-0.62
436094769,0.22,0.71,-0.62
436096719,0.22,0.71,-0.62
436098718,0.22,0.71,-0.62
436100717,0.22,0.71,-0.62
436102716,0.21,0.71,-0.61
436104714,0.21,0.71,-0.61
436106718,0.21,0.71,-0.61
436108698,0.21,0.71,-0.61
436110787,0.21,0.71,-0.61
436112698,0.21,0.71,-0.62
436114676,0.21,0.71,-0.62
436116783,0.21,0.71,-0.62
436118679,0.21,0.71,-0.62
436120676,0.21,0.71,-0.62
436122675,0.22,0.71,-0.63
436124674,0.22,0.71,-0.63
436126672,0.22,0.71,-0.63
436128669,0.22,0.71,-0.63
436130671,0.22,0.71,-0.63
436132676,0.22,0.71,-0.63
436134727,0.22,0.71,-0.63
436136720,0.22,0.71,-0.63
436138757,0.22,0.71,-0.63
436140729,0.22,0.71,-0.63
436142828,0.22,0.71,-0.63
436144734,0.21,0.71,-0.62
436146738,0.21,0.71,-0.62
436148721,0.21,0.71,-0.62
436150716,0.21,0.71,-0.62
436152710,0.21,0.71,-0.62
436154679,0.22,0.71,-0.62
436156675,0.22,0.71,-0.62
436158679,0.22,0.71,-0.62
436160680,0.22,0.71,-0.62
436162713,0.22,0.71,-0.62
436164679,0.22,0.72,-0.62
436166778,0.22,0.72,-0.62
436168683,0.22,0.72,-0.62
436170676,0.22,0.72,-0.62
436172668,0.22,0.72,-0.62
436174718,0.22,0.71,-0.62
436176725,0.22,0.71,-0.62
436178835,0.22,0.71,-0.62
436180729,0.22,0.71,-0.62
436182714,0.22,0.71,-0.62
436184720,0.21,0.71,-0.62
436186724,0.21,0.71,-0.62
436188740,0.21,0.71,-0.62
436190733,0.21,0.71,-0.62
436192812,0.21,0.71,-0.62
436194679,0.21,0.71,-0.62
436196686,0.21,0.71,-0.62
436198753,0.21,0.71,-0.62
436200694,0.21,0.71,-0.62
436202671,0.21,0.71,-0.62
