timestamp,accX,accY,accZ
131835271,0.38,-0.33,-0.82
131837210,0.38,-0.33,-0.82
131839210,0.38,-0.29,-0.88
131841290,0.38,-0.29,-0.88
131843215,0.38,-0.29,-0.88
131845210,0.38,-0.29,-0.88
131847209,0.38,-0.29,-0.88
131849209,0.39,-0.31,-0.86
131851214,0.39,-0.31,-0.86
131853215,0.39,-0.31,-0.86
131855212,0.39,-0.31,-0.86
131857212,0.39,-0.31,-0.86
131859225,0.38,-0.32,-0.74
131861235,0.38,-0.32,-0.74
131863216,0.38,-0.32,-0.74
131865275,0.38,-0.32,-0.74
131867214,0.38,-0.32,-0.74
131869215,0.39,-0.32,-0.69
131871212,0.39,-0.32,-0.69
131873216,0.39,-0.32,-0.69
131875215,0.39,-0.32,-0.69
131877210,0.39,-0.32,-0.69
131879213,0.39,-0.28,-0.72
131881212,0.39,-0.28,-0.72
131883210,0.39,-0.28,-0.72
131941399,0.37,-0.20,-0.70
131943254,0.37,-0.20,-0.70
131945258,0.37,-0.20,-0.70
131947255,0.37,-0.20,-0.70
131949254,0.37,-0.20,-0.70
131951257,0.35,-0.22,-0.55
131953258,0.35,-0.22,-0.55
131955261,0.35,-0.22,-0.55
131957248,0.35,-0.22,-0.55
131959252,0.35,-0.22,-0.55
131961306,0.36,-0.24,-0.48
131963246,0.36,-0.24,-0.48
131965315,0.36,-0.24,-0.48
131967224,0.36,-0.24,-0.48
131969216,0.36,-0.24,-0.48
131971207,0.35,-0.21,-0.52
131973225,0.35,-0.21,-0.52
131975260,0.35,-0.21,-0.52
131977216,0.35,-0.21,-0.52
131979215,0.35,-0.21,-0.52
131981282,0.35,-0.17,-0.57
131983259,0.35,-0.17,-0.57
131985256,0.35,-0.17,-0.57
131987255,0.35,-0.17,-0.57
131989255,0.35,-0.17,-0.57
131991364,0.35,-0.17,-0.54
131993257,0.35,-0.17,-0.54
131995221,0.35,-0.17,-0.54
131997215,0.35,-0.17,-0.54
131999222,0.35,-0.17,-0.54
132001222,0.34,-0.23,-0.45
132003229,0.34,-0.23,-0.45
132005336,0.34,-0.23,-0.45
132007255,0.34,-0.23,-0.45
132009219,0.34,-0.23,-0.45
132011214,0.34,-0.23,-0.45
132013219,0.34,-0.23,-0.41
132015325,0.34,-0.23,-0.41
132017263,0.34,-0.23,-0.41
132019219,0.34,-0.23,-0.41
132021276,0.34,-0.23,-0.41
132023255,0.34,-0.18,-0.48
132025258,0.34,-0.18,-0.48
132027286,0.34,-0.18,-0.48
132029277,0.34,-0.18,-0.48
132031262,0.34,-0.18,-0.48
132033268,0.36,-0.17,-0.56
132035261,0.36,-0.17,-0.56
132037263,0.36,-0.17,-0.56
132039286,0.36,-0.17,-0.56
132041338,0.36,-0.17,-0.56
132043215,0.36,-0.18,-0.56
132045216,0.36,-0.18,-0.56
132047233,0.36,-0.18,-0.56
132049259,0.36,-0.18,-0.56
132051211,0.36,-0.18,-0.56
132053209,0.36,-0.22,-0.54
132055226,0.36,-0.22,-0.54
132057219,0.36,-0.22,-0.54
132059219,0.36,-0.22,-0.54
132061308,0.36,-0.22,-0.54
132063255,0.36,-0.24,-0.57
132065359,0.36,-0.24,-0.57
132067262,0.36,-0.24,-0.57
132069278,0.36,-0.24,-0.57
132071272,0.36,-0.24,-0.57
132073257,0.36,-0.24,-0.70
132075256,0.36,-0.24,-0.70
132077252,0.36,-0.24,-0.70
132079221,0.36,-0.24,-0.70
132081219,0.36,-0.24,-0.70
132083220,0.37,-0.20,-0.80
132085224,0.37,-0.20,-0.80
132087305,0.37,-0.20,-0.80
132089238,0.37,-0.20,-0.80
132091321,0.37,-0.20,-0.80
132093217,0.38,-0.22,-0.87
132095216,0.38,-0.22,-0.87
132097217,0.38,-0.22,-0.87
132099215,0.38,-0.22,-0.87
132101258,0.38,-0.22,-0.87
132103259,0.38,-0.22,-0.87
132105257,0.39,-0.24,-0.87
132107255,0.39,-0.24,-0.87
132109256,0.39,-0.24,-0.87
132111255,0.39,-0.24,-0.87
132113218,0.39,-0.24,-0.87
132115300,0.39,-0.25,-0.89
132117219,0.39,-0.25,-0.89
132119220,0.39,-0.25,-0.89
132121222,0.39,-0.25,-0.89
132123217,0.39,-0.25,-0.89
132125215,0.40,-0.30,-0.95
132127279,0.40,-0.30,-0.95
132129259,0.40,-0.30,-0.95
132131223,0.40,-0.30,-0.95
132133254,0.40,-0.30,-0.95
132135216,0.40,-0.33,-0.99
132137211,0.40,-0.33,-0.99
132139214,0.40,-0.33,-0.99
