timestamp,accX,accY,accZ
212660273,-0.03,0.25,-0.80
212662230,-0.03,0.25,-0.80
212664220,-0.03,0.25,-0.80
212666294,-0.03,0.25,-0.80
212668211,-0.03,0.16,-0.81
212670208,-0.03,0.16,-0.81
212672211,-0.03,0.16,-0.81
212674208,-0.03,0.16,-0.81
212676207,-0.03,0.16,-0.81
212678211,-0.05,0.18,-0.86
212680210,-0.05,0.18,-0.86
212682215,-0.05,0.18,-0.86
212684213,-0.05,0.18,-0.86
212686216,-0.05,0.18,-0.86
212688211,-0.06,0.19,-0.93
212690276,-0.06,0.19,-0.93
212692219,-0.06,0.19,-0.93
212694216,-0.06,0.19,-0.93
212696216,-0.06,0.19,-0.93
212698260,-0.06,0.19,-0.93
212700215,-0.07,0.12,-0.93
212702216,-0.07,0.12,-0.93
212704214,-0.07,0.12,-0.93
212706211,-0.07,0.12,-0.93
212708210,-0.07,0.12,-0.93
212766379,-0.12,0.17,-0.98
212768258,-0.12,0.17,-0.98
212770256,-0.12,0.20,-0.89
212772264,-0.12,0.20,-0.89
212774320,-0.12,0.20,-0.89
212776270,-0.12,0.20,-0.89
212778256,-0.12,0.20,-0.89
212780254,-0.12,0.25,-0.89
212782256,-0.12,0.25,-0.89
212784253,-0.12,0.25,-0.89
212786214,-0.12,0.25,-0.89
212788215,-0.12,0.25,-0.89
212790332,-0.12,0.25,-0.89
212792222,-0.12,0.28,-0.98
212794214,-0.12,0.28,-0.98
212796223,-0.12,0.28,-0.98
212798211,-0.12,0.28,-0.98
212800214,-0.12,0.28,-0.98
212802211,-0.13,0.34,-1.00
212804210,-0.13,0.34,-1.00
212806266,-0.13,0.34,-1.00
212808256,-0.13,0.34,-1.00
212810256,-0.13,0.34,-1.00
212812263,-0.12,0.34,-0.98
212814298,-0.12,0.34,-0.98
212816383,-0.12,0.34,-0.98
212818255,-0.12,0.34,-0.98
212820254,-0.12,0.34,-0.98
212822220,-0.12,0.36,-0.98
212824216,-0.12,0.36,-0.98
212826218,-0.12,0.36,-0.98
212828236,-0.12,0.36,-0.98
212830289,-0.12,0.36,-0.98
212832239,-0.11,0.39,-1.00
212834214,-0.11,0.39,-1.00
212836215,-0.11,0.39,-1.00
212838258,-0.11,0.39,-1.00
212840363,-0.11,0.39,-1.00
212842223,-0.11,0.36,-0.97
212844211,-0.11,0.36,-0.97
212846283,-0.11,0.36,-0.97
212848262,-0.11,0.36,-0.97
212850260,-0.11,0.36,-0.97
212852259,-0.11,0.31,-0.94
212854256,-0.11,0.31,-0.94
212856254,-0.11,0.31,-0.94
212858256,-0.11,0.31,-0.94
212860241,-0.11,0.31,-0.94
212862298,-0.12,0.29,-0.92
212864249,-0.12,0.29,-0.92
212866320,-0.12,0.29,-0.92
212868216,-0.12,0.29,-0.92
212870214,-0.12,0.29,-0.92
212872214,-0.12,0.29,-0.92
212874214,-0.14,0.27,-0.95
212876260,-0.14,0.27,-0.95
212878220,-0.14,0.27,-0.95
212880219,-0.14,0.27,-0.95
212882211,-0.14,0.27,-0.95
212884210,-0.15,0.26,-0.99
212886282,-0.15,0.26,-0.99
212888258,-0.15,0.26,-0.99
212890357,-0.15,0.26,-0.99
212892256,-0.15,0.26,-0.99
212894253,-0.14,0.27,-0.99
212896254,-0.14,0.27,-0.99
212898255,-0.14,0.27,-0.99
212900215,-0.14,0.27,-0.99
212902242,-0.14,0.27,-0.99
212904289,-0.14,0.27,-0.93
212906258,-0.14,0.27,-0.93
212908211,-0.14,0.27,-0.93
212910213,-0.14,0.27,-0.93
212912219,-0.14,0.27,-0.93
212914215,-0.12,0.26,-0.86
212916318,-0.12,0.26,-0.86
212918258,-0.12,0.26,-0.86
212920212,-0.12,0.26,-0.86
212922219,-0.12,0.26,-0.86
212924216,-0.11,0.29,-0.82
212926286,-0.11,0.29,-0.82
212928258,-0.11,0.29,-0.82
212930258,-0.11,0.29,-0.82
212932259,-0.11,0.29,-0.82
212934257,-0.09,0.30,-0.79
212936381,-0.09,0.30,-0.79
212938273,-0.09,0.30,-0.79
212940364,-0.09,0.30,-0.79
212942260,-0.09,0.30,-0.79
212944214,-0.08,0.34,-0.75
212946214,-0.08,0.34,-0.75
212948215,-0.08,0.34,-0.75
212950219,-0.08,0.34,-0.75
212952220,-0.08,0.34,-0.75
212954217,-0.08,0.34,-0.75
212956226,-0.08,0.32,-0.71
212958375,-0.08,0.32,-0.71
