timestamp,accX,accY,accZ
26992710,0.07,-0.02,0.91
26994647,0.07,-0.02,0.91
26996646,0.07,-0.02,0.91
26998646,0.07,-0.02,0.91
27000645,-0.10,-0.03,0.93
27002649,-0.10,-0.03,0.93
27004643,-0.10,-0.03,0.93
27006645,-0.10,-0.03,0.93
27008647,-0.10,-0.03,0.93
27010645,-0.11,-0.02,0.93
27012756,-0.11,-0.02,0.93
27014653,-0.11,-0.02,0.93
27016647,-0.11,-0.02,0.93
27018644,-0.11,-0.02,0.93
27020644,-0.12,-0.05,0.84
27022646,-0.12,-0.05,0.84
27024646,-0.12,-0.05,0.84
27026645,-0.12,-0.05,0.84
27028645,-0.12,-0.05,0.84
27030647,-0.10,-0.02,0.94
27032699,-0.10,-0.02,0.94
27034703,-0.10,-0.02,0.94
27036674,-0.10,-0.02,0.94
27038783,-0.10,-0.02,0.94
27040721,-0.10,-0.04,0.92
27042671,-0.10,-0.04,0.92
27044677,-0.10,-0.04,0.92
27046676,-0.10,-0.04,0.92
27048674,-0.10,-0.04,0.92
27050648,-0.08,-0.06,0.91
27052644,-0.08,-0.06,0.91
27054646,-0.08,-0.06,0.91
27056646,-0.08,-0.06,0.91
27058655,-0.08,-0.06,0.91
27060642,-0.09,-0.09,0.92
27062755,-0.09,-0.09,0.92
27064656,-0.09,-0.09,0.92
27066658,-0.09,-0.09,0.92
27068649,-0.09,-0.09,0.92
27070645,-0.09,-0.08,0.93
27072682,-0.09,-0.08,0.93
27074697,-0.09,-0.08,0.93
27076728,-0.09,-0.08,0.93
27078722,-0.09,-0.08,0.93
27080686,0.10,-0.13,0.90
27082675,0.10,-0.13,0.90
27084673,0.10,-0.13,0.90
27086674,0.10,-0.13,0.90
27088782,0.10,-0.13,0.90
27090647,-0.09,-0.07,0.98
27092647,-0.09,-0.07,0.98
27094647,-0.09,-0.07,0.98
27096644,-0.09,-0.07,0.98
27098645,-0.09,-0.07,0.98
27100644,-0.16,0.00,0.94
27102644,-0.16,0.00,0.94
27104644,-0.16,0.00,0.94
27106642,-0.16,0.00,0.94
27108643,-0.16,0.00,0.94
27110643,-0.09,-0.03,0.90
27112762,-0.09,-0.03,0.90
27114681,-0.09,-0.03,0.90
27116678,-0.09,-0.03,0.90
27118671,-0.09,-0.03,0.90
27120678,-0.12,-0.01,0.91
27122680,-0.12,-0.01,0.91
27124665,-0.12,-0.01,0.91
27126646,-0.12,-0.01,0.91
27128645,-0.12,-0.01,0.91
27130736,-0.17,-0.00,0.93
27132689,-0.17,-0.00,0.93
27134650,-0.17,-0.00,0.93
27136646,-0.17,-0.00,0.93
27138749,-0.17,-0.00,0.93
27140646,-0.16,0.00,0.93
27142684,-0.16,0.00,0.93
27144647,-0.16,0.00,0.93
27146645,-0.16,0.00,0.93
27148657,-0.16,0.00,0.93
27150645,0.00,-0.01,0.97
27152688,0.00,-0.01,0.97
27154673,0.00,-0.01,0.97
27156678,0.00,-0.01,0.97
27158673,0.00,-0.01,0.97
27160669,0.00,-0.01,0.97
27162775,-0.15,-0.04,0.95
27164672,-0.15,-0.04,0.95
27166646,-0.15,-0.04,0.95
27168647,-0.15,-0.04,0.95
27170647,-0.15,-0.04,0.95
27172647,-0.18,-0.01,0.96
27174646,-0.18,-0.01,0.96
27176644,-0.18,-0.01,0.96
27178678,-0.18,-0.01,0.96
27180646,-0.18,-0.01,0.96
27182644,-0.07,0.00,0.97
27184643,-0.07,0.00,0.97
27186798,-0.07,0.00,0.97
27188795,-0.07,0.00,0.97
27190647,-0.07,0.00,0.97
27192689,-0.09,-0.01,0.99
27194674,-0.09,-0.01,0.99
27196673,-0.09,-0.01,0.99
27198669,-0.09,-0.01,0.99
27200671,-0.09,-0.01,0.99
27202677,-0.11,-0.02,0.99
27204663,-0.11,-0.02,0.99
27206648,-0.11,-0.02,0.99
27208645,-0.11,-0.02,0.99
27210648,-0.11,-0.02,0.99
27212741,-0.11,-0.05,0.99
27214656,-0.11,-0.05,0.99
27216648,-0.11,-0.05,0.99
27218647,-0.11,-0.05,0.99
27220647,-0.11,-0.05,0.99
27222646,-0.12,-0.06,1.03
27224647,-0.12,-0.06,1.03
27226647,-0.12,-0.06,1.03
27228647,-0.12,-0.06,1.03
27230651,-0.12,-0.06,1.03
27232716,-0.12,-0.05,1.01
27234733,-0.12,-0.05,1.01
27236713,-0.12,-0.05,1.01
27238790,-0.12,-0.05,1.01
27240677,-0.12,-0.05,1.01
27242674,-0.12,-0.05,0.95
27244679,-0.12,-0.05,0.95
27246676,-0.12,-0.05,0.95
27248674,-0.12,-0.05,0.95
27250646,-0.12,-0.05,0.95
27252647,-0.13,-0.05,0.90
27254647,-0.13,-0.05,0.90
27256649,-0.13,-0.05,0.90
27258656,-0.13,-0.05,0.90
27260647,-0.13,-0.05,0.90
27262761,-0.15,-0.02,0.87
27264694,-0.15,-0.02,0.87
27266646,-0.15,-0.02,0.87
27268642,-0.15,-0.02,0.87
27270647,-0.15,-0.02,0.87
27272685,-0.15,0.00,0.86
27274672,-0.15,0.00,0.86
27276674,-0.15,0.00,0.86
27278715,-0.15,0.00,0.86
27280674,-0.15,0.00,0.86
27282674,-0.16,0.01,0.87
27284666,-0.16,0.01,0.87
27286647,-0.16,0.01,0.87
27288752,-0.16,0.01,0.87
27290644,-0.16,0.01,0.87
27292642,-0.17,0.01,0.91
27294644,-0.17,0.01,0.91
27296644,-0.17,0.01,0.91
27298644,-0.17,0.01,0.91
27300644,-0.17,0.01,0.91
27302643,-0.16,0.01,0.92
27304643,-0.16,0.01,0.92
27306646,-0.16,0.01,0.92
27308643,-0.16,0.01,0.92
27310717,-0.16,0.01,0.92
27312780,-0.16,0.00,0.93
27314688,-0.16,0.00,0.93
27316675,-0.16,0.00,0.93
27318674,-0.16,0.00,0.93
27320672,-0.16,0.00,0.93
27322674,-0.16,-0.00,0.94
27324670,-0.16,-0.00,0.94
27326665,-0.16,-0.00,0.94
27328649,-0.16,-0.00,0.94
27330647,-0.16,-0.00,0.94
27332644,-0.16,-0.00,0.94
27334644,-0.16,-0.01,0.95
27336642,-0.16,-0.01,0.95
27338739,-0.16,-0.01,0.95
27340647,-0.16,-0.01,0.95
27342647,-0.16,-0.01,0.95
27344646,-0.16,0.00,0.96
27346700,-0.16,0.00,0.96
27348666,-0.16,0.00,0.96
27350643,-0.16,0.00,0.96
27352642,-0.16,0.00,0.96
27354678,-0.21,0.17,0.94
27356681,-0.21,0.17,0.94
27358729,-0.21,0.17,0.94
27360715,-0.21,0.17,0.94
27362783,-0.21,0.17,0.94
27364674,-0.23,0.04,0.93
27366672,-0.23,0.04,0.93
27368673,-0.23,0.04,0.93
27370666,-0.23,0.04,0.93
27372647,-0.23,0.04,0.93
27374644,-0.25,0.05,0.97
27376648,-0.25,0.05,0.97
27378668,-0.25,0.05,0.97
27380645,-0.25,0.05,0.97
27382645,-0.25,0.05,0.97
27384645,-0.23,0.07,1.05
27386644,-0.23,0.07,1.05
27388741,-0.23,0.07,1.05
27390643,-0.23,0.07,1.05
27392644,-0.23,0.07,1.05
27394686,-0.25,0.07,1.07
27396673,-0.25,0.07,1.07
27398679,-0.25,0.07,1.07
27400674,-0.25,0.07,1.07
27402722,-0.25,0.07,1.07
27404717,-0.24,0.00,1.03
27406683,-0.24,0.00,1.03
27408678,-0.24,0.00,1.03
27410666,-0.24,0.00,1.03
27412764,-0.24,0.00,1.03
27414657,-0.17,-0.04,0.97
27416660,-0.17,-0.04,0.97
27418645,-0.17,-0.04,0.97
27420646,-0.17,-0.04,0.97
27422644,-0.17,-0.04,0.97
27424643,-0.16,0.05,1.00
27426646,-0.16,0.05,1.00
27428645,-0.16,0.05,1.00
27430645,-0.16,0.05,1.00
27432645,-0.16,0.05,1.00
27434684,-0.23,0.12,1.01
27436672,-0.23,0.12,1.01
27438778,-0.23,0.12,1.01
27440674,-0.23,0.12,1.01
27442675,-0.23,0.12,1.01
27444674,-0.19,0.14,1.01
27446667,-0.19,0.14,1.01
27448690,-0.19,0.14,1.01
27450737,-0.19,0.14,1.01
27452693,-0.19,0.14,1.01
27454642,-0.16,0.08,1.04
27456646,-0.16,0.08,1.04
27458658,-0.16,0.08,1.04
27460657,-0.16,0.08,1.04
27462764,-0.16,0.08,1.04
27464656,-0.13,0.04,1.07
27466646,-0.13,0.04,1.07
27468647,-0.13,0.04,1.07
27470645,-0.13,0.04,1.07
27472648,-0.13,0.04,1.07
27474684,-0.15,-0.03,0.97
27476676,-0.15,-0.03,0.97
27478708,-0.15,-0.03,0.97
27480680,-0.15,-0.03,0.97
27482683,-0.15,-0.03,0.97
27484675,-0.16,-0.03,0.96
27486676,-0.16,-0.03,0.96
27488778,-0.16,-0.03,0.96
27490645,-0.16,-0.03,0.96
27492645,-0.16,-0.03,0.96
27494645,-0.16,-0.03,0.96
27496806,-0.14,0.04,0.94
27498683,-0.14,0.04,0.94
27500646,-0.14,0.04,0.94
27502646,-0.14,0.04,0.94
27504646,-0.14,0.04,0.94
27506645,-0.19,0.04,0.92
27508647,-0.19,0.04,0.92
27510647,-0.19,0.04,0.92
27512759,-0.19,0.04,0.92
27514689,-0.19,0.04,0.92
27516677,-0.15,0.05,0.89
27518674,-0.15,0.05,0.89
27520755,-0.15,0.05,0.89
27522702,-0.15,0.05,0.89
27524682,-0.15,0.05,0.89
27526676,-0.13,0.12,0.88
27528673,-0.13,0.12,0.88
27530662,-0.13,0.12,0.88
27532648,-0.13,0.12,0.88
27534644,-0.13,0.12,0.88
27536642,-0.15,0.15,0.90
27538754,-0.15,0.15,0.90
27540645,-0.15,0.15,0.90
27542714,-0.15,0.15,0.90
27544694,-0.15,0.15,0.90
27546645,-0.12,0.20,0.94
27548655,-0.12,0.20,0.94
27550652,-0.12,0.20,0.94
27552686,-0.12,0.20,0.94
27554696,-0.12,0.20,0.94
27556675,-0.09,0.21,0.98
27558676,-0.09,0.21,0.98
27560677,-0.09,0.21,0.98
27562784,-0.09,0.21,0.98
27564684,-0.09,0.21,0.98
27566663,-0.06,0.21,1.05
27568648,-0.06,0.21,1.05
27570647,-0.06,0.21,1.05
27572643,-0.06,0.21,1.05
27574643,-0.06,0.21,1.05
27576646,-0.08,0.20,1.06
27578674,-0.08,0.20,1.06
27580648,-0.08,0.20,1.06
27582643,-0.08,0.20,1.06
27584644,-0.08,0.20,1.06
27586642,-0.12,0.20,1.07
27588848,-0.12,0.20,1.07
27590706,-0.12,0.20,1.07
27592647,-0.12,0.20,1.07
27594686,-0.12,0.20,1.07
27596674,-0.08,0.18,1.04
27598676,-0.08,0.18,1.04
27600680,-0.08,0.18,1.04
27602674,-0.08,0.18,1.04
27604678,-0.08,0.18,1.04
27606667,-0.13,0.27,0.86
27608645,-0.13,0.27,0.86
27610644,-0.13,0.27,0.86
27612754,-0.13,0.27,0.86
27614655,-0.13,0.27,0.86
27616646,-0.13,0.23,0.75
27618647,-0.13,0.23,0.75
27620641,-0.13,0.23,0.75
27622643,-0.13,0.23,0.75
27624642,-0.13,0.23,0.75
27626646,-0.11,0.14,0.75
27628646,-0.11,0.14,0.75
27630642,-0.11,0.14,0.75
27632645,-0.11,0.14,0.75
27634688,-0.11,0.14,0.75
27636730,-0.09,0.15,0.80
27638828,-0.09,0.15,0.80
27640673,-0.09,0.15,0.80
27642672,-0.09,0.15,0.80
27644673,-0.09,0.15,0.80
27646674,-0.09,0.21,0.81
27648680,-0.09,0.21,0.81
27650665,-0.09,0.21,0.81
27652648,-0.09,0.21,0.81
27654691,-0.09,0.21,0.81
27656652,-0.11,0.31,0.85
27658657,-0.11,0.31,0.85
27660647,-0.11,0.31,0.85
27662755,-0.11,0.31,0.85
27664653,-0.11,0.31,0.85
27666645,-0.11,0.31,0.85
27668649,-0.09,0.33,0.86
27670643,-0.09,0.33,0.86
27672647,-0.09,0.33,0.86
27674685,-0.09,0.33,0.86
27676673,-0.09,0.33,0.86
27678712,-0.11,0.31,0.86
27680700,-0.11,0.31,0.86
27682736,-0.11,0.31,0.86
27684719,-0.11,0.31,0.86
27686675,-0.11,0.31,0.86
27688790,-0.13,0.23,0.89
27690675,-0.13,0.23,0.89
27692647,-0.13,0.23,0.89
27694649,-0.13,0.23,0.89
27696646,-0.13,0.23,0.89
27698643,-0.12,0.18,0.90
27700646,-0.12,0.18,0.90
27702645,-0.12,0.18,0.90
27704645,-0.12,0.18,0.90
27706647,-0.12,0.18,0.90
27708647,-0.10,0.17,0.93
27710646,-0.10,0.17,0.93
27712742,-0.10,0.17,0.93
27714692,-0.10,0.17,0.93
27716682,-0.10,0.17,0.93
27718677,-0.18,0.16,0.96
27720680,-0.18,0.16,0.96
27722690,-0.18,0.16,0.96
27724680,-0.18,0.16,0.96
27726664,-0.18,0.16,0.96
